PROCESSDATA	RHT.7050-342_FIC60101 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-07-01 21:55:00	751
tagname	LYCDU.RHT.7050-342_FIC60101.MV	LYCDU.RHT.7050-342_FIC60101.PV	LYCDU.RHT.7050-342_FIC60101.SV	LYCDU.RHT.7050-342_FIC60101.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	D-601汽包给水流量控制_OP	D-601汽包给水流量控制_PV	D-601汽包给水流量控制_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=10.356255	fsMin=0	fsGridNum=10	fdMax=10.356255tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-07-01 22:31:50	16.27406	2.464457	2.430527	1	0	0	0	0
2024-07-01 22:32:00	16.23981	2.460644	2.517399	1	0	0	0	0
2024-07-01 22:32:10	16.17129	2.461971	2.453319	1	0	0	0	0
2024-07-01 22:32:20	16.17129	2.460644	2.476532	1	0	0	0	0
2024-07-01 22:32:30	16.20883	2.45998	2.493145	1	0	0	0	0
2024-07-01 22:32:40	16.20883	2.45998	2.493145	1	0	0	0	0
2024-07-01 22:32:50	16.28391	2.45998	2.503158	1	0	0	0	0
2024-07-01 22:33:00	16.34237	2.464954	2.431116	1	0	0	0	0
2024-07-01 22:33:10	16.34237	2.466941	2.428005	1	0	0	0	0
2024-07-01 22:33:20	15.9051	2.462964	2.457441	1	0	0	0	0
2024-07-01 22:33:30	15.65184	2.448435	2.444136	1	0	0	0	0
2024-07-01 22:33:40	15.5826	2.423355	2.38809	1	0	0	0	0
2024-07-01 22:33:50	15.5826	2.423355	2.38809	1	0	0	0	0
2024-07-01 22:34:00	15.39843	2.414908	2.365588	1	0	0	0	0
2024-07-01 22:34:10	15.30634	2.398968	2.46735	1	0	0	0	0
2024-07-01 22:34:20	15.46306	2.410501	2.444579	1	0	0	0	0
2024-07-01 22:34:30	15.54141	2.416437	2.426139	1	0	0	0	0
2024-07-01 22:34:40	15.54141	2.416775	2.412032	1	0	0	0	0
2024-07-01 22:34:50	15.57728	2.418463	2.437956	1	0	0	0	0
2024-07-01 22:35:00	15.65545	2.424691	2.429078	1	0	0	0	0
2024-07-01 22:35:10	15.77591	2.435457	2.385398	1	0	0	0	0
2024-07-01 22:35:20	15.77591	2.435457	2.385398	1	0	0	0	0
2024-07-01 22:35:30	15.70484	2.436127	2.381098	1	0	0	0	0
2024-07-01 22:35:40	15.51675	2.429918	2.34155	1	0	0	0	0
2024-07-01 22:35:50	15.46089	2.420818	2.380275	1	0	0	0	0
2024-07-01 22:36:00	15.41502	2.417787	2.406322	1	0	0	0	0
2024-07-01 22:36:10	15.37915	2.420826	2.41969	1	0	0	0	0
2024-07-01 22:36:20	15.31681	2.414065	2.423434	1	0	0	0	0
2024-07-01 22:36:30	15.31681	2.414065	2.423434	1	0	0	0	0
2024-07-01 22:36:40	15.32261	2.408479	2.429348	1	0	0	0	0
2024-07-01 22:36:50	15.4391	2.411525	2.429691	1	0	0	0	0
2024-07-01 22:37:00	15.50443	2.41593	2.428659	1	0	0	0	0
2024-07-01 22:37:10	15.59253	2.417282	2.434337	1	0	0	0	0
2024-07-01 22:37:20	15.63564	2.426378	2.464068	1	0	0	0	0
2024-07-01 22:37:30	15.73037	2.43645	2.462732	1	0	0	0	0
2024-07-01 22:37:40	15.87672	2.447499	2.430327	1	0	0	0	0
2024-07-01 22:37:50	15.84227	2.450832	2.406031	1	0	0	0	0
2024-07-01 22:38:00	15.84227	2.450832	2.406031	1	0	0	0	0
2024-07-01 22:38:10	15.82504	2.450832	2.401888	1	0	0	0	0
2024-07-01 22:38:20	15.71574	2.434433	2.399538	1	0	0	0	0
2024-07-01 22:38:30	15.57432	2.429748	2.410858	1	0	0	0	0
2024-07-01 22:38:40	15.40079	2.433444	2.451858	1	0	0	0	0
2024-07-01 22:38:50	15.29386	2.420641	2.402148	1	0	0	0	0
2024-07-01 22:39:00	15.23959	2.41407	2.401783	1	0	0	0	0
2024-07-01 22:39:10	15.23959	2.41407	2.401783	1	0	0	0	0
2024-07-01 22:39:20	15.23801	2.413732	2.450761	1	0	0	0	0
2024-07-01 22:39:30	15.28108	2.41593	2.466483	1	0	0	0	0
2024-07-01 22:39:40	15.36722	2.415254	2.495619	1	0	0	0	0
2024-07-01 22:39:50	15.39027	2.422339	2.4327	1	0	0	0	0
2024-07-01 22:40:00	15.4018	2.427059	2.419759	1	0	0	0	0
2024-07-01 22:40:10	15.4018	2.429414	2.456795	1	0	0	0	0
2024-07-01 22:40:20	15.4018	2.429414	2.456795	1	0	0	0	0
2024-07-01 22:40:30	15.30919	2.431093	2.406255	1	0	0	0	0
2024-07-01 22:40:40	15.18414	2.416775	2.297575	1	0	0	0	0
2024-07-01 22:40:50	15.04325	2.404223	2.32262	1	0	0	0	0
2024-07-01 22:41:00	14.94249	2.397436	2.338513	1	0	0	0	0
2024-07-01 22:41:10	14.88185	2.396414	2.345255	1	0	0	0	0
2024-07-01 22:41:20	14.7375	2.3865	2.355003	1	0	0	0	0
2024-07-01 22:41:30	14.74954	2.380171	2.356593	1	0	0	0	0
2024-07-01 22:41:40	14.91797	2.377425	2.350023	1	0	0	0	0
2024-07-01 22:41:50	14.91797	2.377425	2.350023	1	0	0	0	0
2024-07-01 22:42:00	14.98824	2.383254	2.411027	1	0	0	0	0
2024-07-01 22:42:10	15.02338	2.398968	2.429332	1	0	0	0	0
2024-07-01 22:42:20	15.17482	2.409487	2.412239	1	0	0	0	0
2024-07-01 22:42:30	15.25053	2.416435	2.414463	1	0	0	0	0
2024-07-01 22:42:40	15.25053	2.419814	2.436004	1	0	0	0	0
2024-07-01 22:42:50	15.25053	2.422512	2.424682	1	0	0	0	0
2024-07-01 22:43:00	15.25053	2.422512	2.424682	1	0	0	0	0
2024-07-01 22:43:10	15.08653	2.416924	2.399952	1	0	0	0	0
2024-07-01 22:43:20	14.75854	2.392138	2.34607	1	0	0	0	0
2024-07-01 22:43:30	14.68991	2.387195	2.321506	1	0	0	0	0
2024-07-01 22:43:40	14.55266	2.388221	2.288121	1	0	0	0	0
2024-07-01 22:43:50	14.55266	2.369301	2.318334	1	0	0	0	0
2024-07-01 22:44:00	14.34755	2.354981	2.340959	1	0	0	0	0
2024-07-01 22:44:10	13.93733	2.345261	2.355997	1	0	0	0	0
2024-07-01 22:44:20	13.93733	2.345261	2.355997	1	0	0	0	0
2024-07-01 22:44:30	14.03307	2.338631	2.374502	1	0	0	0	0
2024-07-01 22:44:40	14.08094	2.347871	2.388561	1	0	0	0	0
2024-07-01 22:44:50	14.08094	2.343343	2.338631	1	0	0	0	0
2024-07-01 22:45:00	14.08094	2.342821	2.342324	1	0	0	0	0
