PROCESSDATA	2111FIC40102B Data	yyyy-MM-dd HH:mm:ss
8	10	2024-08-24 21:55:00	751
tagname	2111FIC40102B.MV	2111FIC40102B.PV	2111FIC40102B.SV	2111FIC40102B.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401二路支管_OP	常底油进F401二路支管_PV	常底油进F401二路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.921874734183671	fsMin=0	fsGridNum=10	fdMax=1.921874734183671tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-08-24 22:44:10	41.497314425	100.96028325	100.640402	1	0	0	0	0
2024-08-24 22:44:20	41.463548239999994	100.78707560000001	100.5799152	1	0	0	0	0
2024-08-24 22:44:30	41.54804773478261	100.2483463768116	100.49488839130436	1	0	0	0	0
2024-08-24 22:44:40	41.67847344285714	99.99065857142857	100.553352	1	0	0	0	0
2024-08-24 22:44:50	41.57621005	100.74216150000001	100.601967	1	0	0	0	0
2024-08-24 22:45:00	41.5486679	100.793182	100.618172	1	0	0	0	0
2024-08-24 22:45:10	41.49606500317461	101.31199196825396	101.03471352380953	1	0	0	0	0
2024-08-24 22:45:20	41.44813262857143	101.22401857142856	100.784912	1	0	0	0	0
2024-08-24 22:45:30	41.64305718955224	100.42682625373135	100.76295565671641	1	0	0	0	0
2024-08-24 22:45:40	41.67323496530612	100.3040130612245	100.52908863265306	1	0	0	0	0
2024-08-24 22:45:50	41.50498	101.042206	100.58828	1	0	0	0	0
2024-08-24 22:46:00	41.4743627169014	100.73836278873239	100.33318084507042	1	0	0	0	0
2024-08-24 22:46:10	41.53377315714285	100.72355400000001	100.61034685714286	1	0	0	0	0
2024-08-24 22:46:20	41.4834442	100.828026	100.540482	1	0	0	0	0
2024-08-24 22:46:30	41.47132142857143	100.79693614285715	100.52347485714286	1	0	0	0	0
2024-08-24 22:46:40	41.560850679999994	100.69083416	100.817184	1	0	0	0	0
2024-08-24 22:46:50	41.57591960563381	100.69983454929577	100.86737445070422	1	0	0	0	0
2024-08-24 22:47:00	41.71420640147059	100.52878354411766	101.1859965882353	1	0	0	0	0
2024-08-24 22:47:10	42.0166009	100.4139175	101.942825	1	0	0	0	0
2024-08-24 22:47:20	41.90492956666667	101.54559666666667	102.076365	1	0	0	0	0
2024-08-24 22:47:30	41.76278694918033	101.42967737704919	101.15434054098361	1	0	0	0	0
2024-08-24 22:47:40	41.620398275510205	101.58618681632653	100.9059923877551	1	0	0	0	0
2024-08-24 22:47:50	41.95297765432099	99.6408593037037	100.58522	1	0	0	0	0
2024-08-24 22:48:00	42.03228909090909	99.94314453333332	100.68968718181819	1	0	0	0	0
2024-08-24 22:48:10	41.50638	101.884483	100.519173	1	0	0	0	0
2024-08-24 22:48:20	41.40280045714286	101.31224422857143	100.22081899999999	1	0	0	0	0
2024-08-24 22:48:30	41.90288	99.51412	100.195763	1	0	0	0	0
2024-08-24 22:48:40	41.50727857959183	101.97760204081632	101.167694	1	0	0	0	0
2024-08-24 22:48:50	41.45288957142857	100.96993428571429	100.43117742857143	1	0	0	0	0
2024-08-24 22:49:00	41.8678932	99.8269043	100.7451	1	0	0	0	0
2024-08-24 22:49:10	41.532093833333334	101.55952633333334	101.108574	1	0	0	0	0
2024-08-24 22:49:20	41.3759727	101.83049	101.051384	1	0	0	0	0
2024-08-24 22:49:30	41.78617226666667	100.22470733333333	100.932325	1	0	0	0	0
2024-08-24 22:49:40	41.58916856	101.200247	100.85208320000001	1	0	0	0	0
2024-08-24 22:49:50	41.4985352	101.286842	100.961136	1	0	0	0	0
2024-08-24 22:50:00	41.8370056	100.13486966666667	100.904612	1	0	0	0	0
2024-08-24 22:50:10	41.62158416741573	100.95753168539326	100.65626488764045	1	0	0	0	0
2024-08-24 22:50:20	41.467157950819676	100.84627140983606	100.27552862295082	1	0	0	0	0
2024-08-24 22:50:30	41.811053670886075	100.21395916455697	100.96574992405064	1	0	0	0	0
2024-08-24 22:50:40	41.59975276470588	100.93688711764706	100.637711	1	0	0	0	0
2024-08-24 22:50:50	41.557606202531645	101.702797	101.37678044303797	1	0	0	0	0
2024-08-24 22:51:00	41.66076568627451	100.80430245098039	100.86769552941176	1	0	0	0	0
2024-08-24 22:51:10	41.64346809661017	100.49712632203389	100.467087	1	0	0	0	0
2024-08-24 22:51:20	41.60609903846154	100.89348382692307	100.78104398076923	1	0	0	0	0
2024-08-24 22:51:30	41.76296504285714	100.809774	101.23130557142858	1	0	0	0	0
2024-08-24 22:51:40	41.809024844444444	100.76113159259259	101.153557	1	0	0	0	0
2024-08-24 22:51:50	41.96669257142857	100.89599942857143	101.61335657142857	1	0	0	0	0
2024-08-24 22:52:00	42.10812142857143	101.76327971428572	102.69747242857143	1	0	0	0	0
2024-08-24 22:52:10	42.110302733333334	102.427743	102.732727	1	0	0	0	0
2024-08-24 22:52:20	42.012440704225355	102.65836042253521	102.38654514084507	1	0	0	0	0
2024-08-24 22:52:30	42.13513224719101	101.20918573146068	101.50850506741574	1	0	0	0	0
2024-08-24 22:52:40	42.61509	99.659256	101.380836	1	0	0	0	0
2024-08-24 22:52:50	41.570238360655736	103.17280421311474	100.934532	1	0	0	0	0
2024-08-24 22:53:00	42.241439820000004	99.81867	100.71790779999999	1	0	0	0	0
2024-08-24 22:53:10	41.585031618309856	102.19553845070422	100.09278245070422	1	0	0	0	0
2024-08-24 22:53:20	41.60660018	100.8331536	99.8846	1	0	0	0	0
2024-08-24 22:53:30	41.86712	99.66176	99.9031448	1	0	0	0	0
2024-08-24 22:53:40	41.27540694117647	101.56739005882352	100.02043452941177	1	0	0	0	0
2024-08-24 22:53:50	41.65146417142857	100.23070857142856	100.420301	1	0	0	0	0
2024-08-24 22:54:00	41.33957	101.767769	100.655	1	0	0	0	0
2024-08-24 22:54:10	41.412025679012345	100.73646938271605	100.28735158024692	1	0	0	0	0
2024-08-24 22:54:20	41.650748695652176	99.48694101449276	99.95578075362319	1	0	0	0	0
2024-08-24 22:54:30	41.2698855915493	100.73426781690141	99.76454	1	0	0	0	0
2024-08-24 22:54:40	41.42551821355932	99.68394281355933	99.77497745762712	1	0	0	0	0
2024-08-24 22:54:50	41.40985097640449	99.9882294269663	99.90240995505617	1	0	0	0	0
2024-08-24 22:55:00	41.15595180491803	100.87910050819671	99.88648809836066	1	0	0	0	0
2024-08-24 22:55:10	41.4191652	99.91229428571428	100.317871	1	0	0	0	0
2024-08-24 22:55:20	41.57142828333333	99.42608833333334	100.20920266666666	1	0	0	0	0
2024-08-24 22:55:30	41.46041975121951	100.48840956097561	100.57106624390244	1	0	0	0	0
2024-08-24 22:55:40	41.48787	100.66024	100.828926	1	0	0	0	0
2024-08-24 22:55:50	41.4168739	100.461044	100.39299	1	0	0	0	0
2024-08-24 22:56:00	41.27092906122449	100.50552857142857	99.93207	1	0	0	0	0
2024-08-24 22:56:10	41.3512988375	100.09543515	100.096174875	1	0	0	0	0
2024-08-24 22:56:20	41.423614025	100.03449077500001	100.263338	1	0	0	0	0
2024-08-24 22:56:30	41.462156995061726	99.95685809876544	100.23466790123457	1	0	0	0	0
2024-08-24 22:56:40	41.49592106666667	100.22962466666667	100.4253	1	0	0	0	0
2024-08-24 22:56:50	41.454485250000005	100.41988515	100.4159918	1	0	0	0	0
2024-08-24 22:57:00	41.60115061224489	100.51124195918366	101.00204218367348	1	0	0	0	0
2024-08-24 22:57:10	41.52976882	100.6198926	100.482071	1	0	0	0	0
2024-08-24 22:57:20	41.40403475409836	100.87110962295083	100.43224570491803	1	0	0	0	0
2024-08-24 22:57:30	41.518052857142855	100.57775414285715	100.71640442857142	1	0	0	0	0
2024-08-24 22:57:40	41.5728951	100.3737	100.695343	1	0	0	0	0
2024-08-24 22:57:50	41.4315529	100.914124	100.509	1	0	0	0	0
2024-08-24 22:58:00	41.46854955102041	100.47910489795919	100.381149	1	0	0	0	0
2024-08-24 22:58:10	41.73523371428571	99.88479285714286	100.68615714285714	1	0	0	0	0
2024-08-24 22:58:20	41.787041125	100.46539312499999	100.928548125	1	0	0	0	0
2024-08-24 22:58:30	41.89901202531645	101.21305748101265	101.97151469620253	1	0	0	0	0
2024-08-24 22:58:40	42.01906795471698	101.10086362264151	102.01747130188679	1	0	0	0	0
2024-08-24 22:58:50	41.856823	101.692139	101.642151	1	0	0	0	0
2024-08-24 22:59:00	41.8764264	101.59514250000001	101.46455	1	0	0	0	0
2024-08-24 22:59:10	41.62269720416666	101.504420375	100.57341	1	0	0	0	0
2024-08-24 22:59:20	41.54683782898551	101.11381236231884	100.36465407246376	1	0	0	0	0
2024-08-24 22:59:30	41.80390947166667	99.94734433333333	100.29329323333334	1	0	0	0	0
2024-08-24 22:59:40	41.49004285714286	101.57754114285714	100.45696371428572	1	0	0	0	0
2024-08-24 22:59:50	41.704602237288135	101.35346650847458	101.34444972881356	1	0	0	0	0
2024-08-24 23:00:00	41.47959725490196	101.1952626862745	100.3801	1	0	0	0	0
2024-08-24 23:00:10	41.58745707721519	99.91917962025316	99.77816367088607	1	0	0	0	0
2024-08-24 23:00:20	41.472603060655736	100.46350736065574	100.03891152459016	1	0	0	0	0
2024-08-24 23:00:30	41.277565	100.850662	100.0929	1	0	0	0	0
2024-08-24 23:00:40	41.359700000000004	100.5485195	100.4065325	1	0	0	0	0
2024-08-24 23:00:50	41.42496753623188	99.96398208695652	99.94053234782608	1	0	0	0	0
2024-08-24 23:01:00	41.346882731372546	100.07656327450981	99.76811450980392	1	0	0	0	0
2024-08-24 23:01:10	41.26209	100.175583	99.7299042	1	0	0	0	0
2024-08-24 23:01:20	41.233566355932204	100.24269203389831	99.9447679661017	1	0	0	0	0
2024-08-24 23:01:30	41.196029438202245	100.1771688764045	99.82240415730338	1	0	0	0	0
2024-08-24 23:01:40	41.22448894507042	99.94397718309858	99.87481915492957	1	0	0	0	0
2024-08-24 23:01:50	41.31072435064935	99.73283298701298	99.99577596103896	1	0	0	0	0
2024-08-24 23:02:00	41.3181267	100.096611	100.226212	1	0	0	0	0
2024-08-24 23:02:10	41.26180075	99.64220366666667	99.55352	1	0	0	0	0
2024-08-24 23:02:20	41.10426497142857	99.99223991428572	99.44346285714286	1	0	0	0	0
2024-08-24 23:02:30	41.23238323478261	99.72822360869566	99.90864521739131	1	0	0	0	0
2024-08-24 23:02:40	41.29436120408163	99.73052512244898	100.128204	1	0	0	0	0
2024-08-24 23:02:50	41.18112361111111	99.99053361111112	99.85485584722223	1	0	0	0	0
2024-08-24 23:03:00	41.169230057142855	99.7884736734694	99.70058575510204	1	0	0	0	0
2024-08-24 23:03:10	41.16976530612245	99.93565710204082	99.89152	1	0	0	0	0
2024-08-24 23:03:20	41.36599102857143	99.8235538095238	100.521553	1	0	0	0	0
2024-08-24 23:03:30	41.4828377	100.1349355	100.83288925	1	0	0	0	0
2024-08-24 23:03:40	41.51197446329114	100.12031931645569	100.67644574683544	1	0	0	0	0
2024-08-24 23:03:50	41.3256645	100.249855	99.88313	1	0	0	0	0
2024-08-24 23:04:00	41.23711224489796	100.32198353061224	99.8700256	1	0	0	0	0
2024-08-24 23:04:10	41.33914986578947	99.9265845368421	99.95795558947368	1	0	0	0	0
2024-08-24 23:04:20	41.253053694117646	100.09356921568627	99.79143182352941	1	0	0	0	0
2024-08-24 23:04:30	41.73550348333333	99.922305	101.08704716666666	1	0	0	0	0
2024-08-24 23:04:40	41.50528331147541	101.11639395081967	100.97755180327869	1	0	0	0	0
2024-08-24 23:04:50	41.6313184556962	100.4635980886076	100.93738202531645	1	0	0	0	0
