PROCESSDATA	2411PDIC10321 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-10-15 21:55:00	751
tagname	2411PDIC10321.MV	2411PDIC10321.PV	2411PDIC10321.SV	2411PDIC10321.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	再生器再生滑阀差压_OP	再生器再生滑阀差压_PV	再生器再生滑阀差压_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=3.6755869240000045	fsMin=0	fsGridNum=10	fdMax=3.6755869240000045tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-10-15 22:34:40	63.4232548	66.231150336	15	1	0	0	0	0
2024-10-15 22:34:50	64.59409049599999	68.3932052	15	1	0	0	0	0
2024-10-15 22:35:00	64.5434964	68.3114916	15	1	0	0	0	0
2024-10-15 22:35:10	63.869499536	66.9857032	15	1	0	0	0	0
2024-10-15 22:35:20	63.15611235294117	65.58069647058824	15	1	0	0	0	0
2024-10-15 22:35:30	63.385713968000005	65.96096320000001	15	1	0	0	0	0
2024-10-15 22:35:40	63.8022868	66.727298808	15	1	0	0	0	0
2024-10-15 22:35:50	63.529450047999994	66.19494863999999	15	1	0	0	0	0
2024-10-15 22:36:00	63.363689271999995	65.845246	15	1	0	0	0	0
2024-10-15 22:36:10	62.74714476	64.6402128	15	1	0	0	0	0
2024-10-15 22:36:20	63.81909774509804	66.67126980392158	15	1	0	0	0	0
2024-10-15 22:36:30	64.7641928	68.500912	15	1	0	0	0	0
2024-10-15 22:36:40	64.29259	67.62028120000001	15	1	0	0	0	0
2024-10-15 22:36:50	64.0258043	67.1038596	15	1	0	0	0	0
2024-10-15 22:37:00	64.158706	67.297997364	15	1	0	0	0	0
2024-10-15 22:37:10	64.6687672	68.292108984	15	1	0	0	0	0
2024-10-15 22:37:20	63.90387917058823	66.88919379215686	15	1	0	0	0	0
2024-10-15 22:37:30	62.42414182	64.123397848	15	1	0	0	0	0
2024-10-15 22:37:40	62.746065808000004	64.76133	15	1	0	0	0	0
2024-10-15 22:37:50	63.805885776000004	66.836476024	15	1	0	0	0	0
2024-10-15 22:38:00	63.519436192	66.41643812800001	15	1	0	0	0	0
2024-10-15 22:38:10	63.219349447999996	65.94833767600001	15	1	0	0	0	0
