PROCESSDATA	2111FIC40102C Data	yyyy-MM-dd HH:mm:ss
8	10	2024-09-04 21:55:00	751
tagname	2111FIC40102C.MV	2111FIC40102C.PV	2111FIC40102C.SV	2111FIC40102C.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	常底油进F401三路支管_OP	常底油进F401三路支管_PV	常底油进F401三路支管_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.6146241691836742	fsMin=0	fsGridNum=10	fdMax=1.6146241691836742tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-09-04 22:19:00	42.117720059999996	98.67346500000001	99.8385537	1	0	0	0	0
2024-09-04 22:19:10	42.331931649999994	98.79374772	99.95262	1	0	0	0	0
2024-09-04 22:19:20	41.987545	101.4349646	100.819633	1	0	0	0	0
2024-09-04 22:19:30	42.368946310000005	99.873384	100.7422024	1	0	0	0	0
2024-09-04 22:19:40	42.514904	99.99418	100.8830612	1	0	0	0	0
2024-09-04 22:19:50	42.71037099	100.8741055	101.751984	1	0	0	0	0
2024-09-04 22:20:00	42.3782665	102.00836170000001	101.425957	1	0	0	0	0
2024-09-04 22:20:10	42.5177986	101.13780820000001	101.22172280000001	1	0	0	0	0
2024-09-04 22:20:20	42.35243039	101.2187239	100.6030427	1	0	0	0	0
2024-09-04 22:20:30	42.00974927	100.5561817	99.05353	1	0	0	0	0
2024-09-04 22:20:40	41.97504925	99.9312545	98.96058	1	0	0	0	0
2024-09-04 22:20:50	42.150991420000004	99.48214	99.51944089999999	1	0	0	0	0
2024-09-04 22:21:00	42.34949262	99.514372	100.2551373	1	0	0	0	0
2024-09-04 22:21:10	42.43455582	99.47682255	100.235741	1	0	0	0	0
2024-09-04 22:21:20	42.630551000000004	99.57973753	100.703018	1	0	0	0	0
2024-09-04 22:21:30	42.48725588	100.7869576	100.852769	1	0	0	0	0
2024-09-04 22:21:40	42.64313922	100.6682203	101.25677370000001	1	0	0	0	0
2024-09-04 22:21:50	42.855419559999994	100.6416028	101.727547	1	0	0	0	0
2024-09-04 22:22:00	42.88062628	100.9914517	101.689186	1	0	0	0	0
2024-09-04 22:22:10	42.701829520000004	101.598286	101.3629567	1	0	0	0	0
2024-09-04 22:22:20	42.52612536	101.7229925	100.9955588	1	0	0	0	0
2024-09-04 22:22:30	42.22924081	100.3885307	99.07487	1	0	0	0	0
2024-09-04 22:22:40	41.9592655	100.3806277	98.62595	1	0	0	0	0
2024-09-04 22:22:50	42.31071971	99.50922643999999	99.6424504	1	0	0	0	0
2024-09-04 22:23:00	42.6116959	99.380858	100.3436238	1	0	0	0	0
2024-09-04 22:23:10	42.80835333	99.52987828	100.575111	1	0	0	0	0
2024-09-04 22:23:20	42.320986919999996	101.29999149999999	100.503136	1	0	0	0	0
2024-09-04 22:23:30	42.529133640000005	100.28205032000001	100.49952956999999	1	0	0	0	0
2024-09-04 22:23:40	42.40735557	100.2234491	99.89125364	1	0	0	0	0
2024-09-04 22:23:50	42.122536	100.51757210000001	99.14595	1	0	0	0	0
2024-09-04 22:24:00	41.813217529999996	100.23339951999999	98.46153	1	0	0	0	0
2024-09-04 22:24:10	42.112032	98.805598	98.75421155000001	1	0	0	0	0
2024-09-04 22:24:20	42.29646085	98.99675244	99.56789552	1	0	0	0	0
2024-09-04 22:24:30	42.232965050000004	99.249952	99.3129654	1	0	0	0	0
2024-09-04 22:24:40	42.14832536	99.23820232	98.9549	1	0	0	0	0
2024-09-04 22:24:50	42.024988	99.39445751	98.7784894	1	0	0	0	0
2024-09-04 22:25:00	41.94563564285714	99.62539836734693	98.94553843265307	1	0	0	0	0
2024-09-04 22:25:10	41.792453	99.786062	98.6203156	1	0	0	0	0
2024-09-04 22:25:20	41.738482000000005	99.21238445	98.36255	1	0	0	0	0
2024-09-04 22:25:30	41.85224842	98.48003845	98.60782856	1	0	0	0	0
2024-09-04 22:25:40	41.7399177	99.494882	99.19852603999999	1	0	0	0	0
2024-09-04 22:25:50	42.13787311	98.23065949	99.45375	1	0	0	0	0
