PROCESSDATA	2#CDU.7040-311_FIC31102 Data	yyyy-MM-dd HH:mm:ss
8	10	2024-06-27 21:55:00	751
tagname	LYCDU.CDU.7040-311_FIC31102.MV	LYCDU.CDU.7040-311_FIC31102.PV	LYCDU.CDU.7040-311_FIC31102.SV	LYCDU.CDU.7040-311_FIC31102.MODE	bOpOFL	bPvOFL	bSpOFL	bAutOFL
desc	过热蒸汽入C_301线_OP	过热蒸汽入C_301线_PV	过热蒸汽入C_301线_SP	Aut	bOpOFL	bPvOFL	bSpOFL	bAutOFL
fsMax=1.340597	fsMin=0	fsGridNum=10	fdMax=1.340597tfdMin=0	fdGridNum=10	v0GridNum=10	L=24
2024-06-27 22:45:10	5.67672	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:45:20	5.67672	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:45:30	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:45:40	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:45:50	5.67672	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:46:00	5.694434	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:46:10	5.729862	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:46:20	5.729862	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:46:30	5.729862	0.3022714	0.3038403	1	0	0	0	0
2024-06-27 22:46:40	5.729862	0.3025393	0.3038403	1	0	0	0	0
2024-06-27 22:46:50	5.729862	0.3023607	0.3038403	1	0	0	0	0
2024-06-27 22:47:00	5.729862	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:47:10	5.729862	0.3028069	0.3038403	1	0	0	0	0
2024-06-27 22:47:20	5.729862	0.3024499	0.3038403	1	0	0	0	0
2024-06-27 22:47:30	5.729862	0.3022714	0.3038403	1	0	0	0	0
